customer_age,customer_tenure_months,vehicle_age_years,idv,claim_amount,repair_estimate,police_report_filed,accident_type,damage_type,previous_claims_count,engine_guard_addon,tyre_rim_addon,vehicle_fire,theft,fraud_label
60,64,10,401751,84239,99217,True,Rear-end collision,Rear bumper,5,False,True,False,False,False
66,58,6,950332,384719,411373,True,Rear-end collision,Side panel,5,False,True,False,False,False
65,6,10,745207,519232,522807,True,Hit and run,Total loss,3,True,True,False,False,False
24,49,6,1120968,83178,101028,True,Rollover,Rear bumper,4,False,False,False,False,False
50,12,7,992292,93946,96741,True,Rear-end collision,Total loss,3,True,True,False,False,False
35,62,1,457954,94578,97890,True,Rear-end collision,Windshield,3,True,False,False,False,False
37,95,8,641503,206616,233094,True,Theft,Rear bumper,0,False,False,False,True,True
23,75,5,677182,521499,543828,True,Fire,Rear bumper,0,False,True,True,False,False
45,50,5,624385,158548,179787,True,Side collision,Total loss,0,True,False,False,False,False
67,6,5,1006496,115853,145175,True,Rollover,Side panel,1,False,True,False,False,False
52,95,0,1082144,113275,116541,True,Rollover,Engine,1,False,True,False,False,False
24,4,11,1054001,408609,435139,True,Rear-end collision,Engine,5,True,False,False,False,False
41,78,12,697211,204284,221891,True,Side collision,Rear bumper,3,False,False,False,False,False
58,92,3,365080,34475,48810,True,Fire,Engine,5,True,False,True,False,False
54,94,4,431705,115724,122703,True,Side collision,Engine,2,True,False,False,False,False
67,26,1,338013,186651,213920,True,Rollover,Side panel,3,True,True,False,False,False
48,10,6,927477,706071,728211,True,Fire,Engine,5,False,True,True,False,True
35,39,12,1035524,106451,118606,True,Rear-end collision,Engine,1,True,False,False,False,False
63,86,1,911742,290815,299812,False,Hit and run,Total loss,5,False,False,False,False,True
56,10,12,544420,172663,183383,True,Hit and run,Total loss,2,False,True,False,False,False
50,29,4,974070,33416,56042,False,Side collision,Side panel,6,True,False,False,False,True
39,10,6,1157138,21165,36655,True,Side collision,Rear bumper,1,True,True,False,False,False
55,120,6,841165,185045,208628,False,Rear-end collision,Rear bumper,2,False,False,False,False,False
26,62,2,801869,183455,212585,True,Fire,Windshield,2,False,True,True,False,False
62,102,12,333862,86487,114785,True,Rollover,Engine,1,False,False,False,False,False
61,95,3,856681,630324,648932,True,Fire,Side panel,4,False,True,True,False,False
40,94,2,588556,152741,174621,True,Side collision,Side panel,2,True,False,False,False,False
34,84,2,974301,747165,752369,False,Theft,Total loss,4,False,True,False,True,True
30,1,6,944874,24815,34323,True,Side collision,Front bumper,1,True,False,False,False,False
63,94,9,884324,69955,72212,True,Rollover,Windshield,4,False,False,False,False,False
61,67,9,708915,199208,225912,False,Hit and run,Engine,1,False,False,False,False,False
57,40,10,353789,96983,103298,False,Rollover,Engine,2,False,False,False,False,False
58,72,10,515981,268554,273226,True,Side collision,Engine,0,False,True,False,False,False
35,119,9,1029281,94088,100059,True,Hit and run,Side panel,2,True,False,False,False,True
26,8,5,336006,49925,62961,True,Fire,Engine,2,False,False,True,False,False
49,16,0,763620,219542,228274,False,Hit and run,Total loss,5,True,False,False,False,False
48,54,7,1081453,662267,665096,False,Theft,Windshield,6,False,True,False,True,True
54,91,4,368095,277622,290405,True,Side collision,Engine,4,True,False,False,False,False
40,114,10,1049337,520832,540853,False,Side collision,Front bumper,1,True,True,False,False,False
31,29,11,861574,646711,673238,True,Theft,Side panel,5,True,False,False,True,True
30,61,9,504812,92427,98723,False,Rear-end collision,Rear bumper,1,False,False,False,False,False
38,90,0,1129068,737972,756123,True,Side collision,Rear bumper,2,False,False,False,False,False
58,117,1,861130,638829,656899,True,Rollover,Front bumper,0,False,False,False,False,False
50,104,11,889185,55776,81208,True,Fire,Windshield,2,False,True,True,False,False
48,95,12,1190306,638496,666334,True,Theft,Side panel,3,True,True,False,True,False
49,94,5,395532,184569,196619,False,Rear-end collision,Rear bumper,0,True,True,False,False,False
22,28,8,744703,244254,269009,False,Fire,Engine,4,True,False,True,False,True
48,45,1,498812,151845,164464,False,Side collision,Front bumper,3,True,False,False,False,False
25,11,3,478023,49281,54290,True,Theft,Front bumper,5,False,False,False,True,False
56,2,5,323837,113498,124106,False,Hit and run,Total loss,3,False,False,False,False,False
34,2,3,315451,175368,188462,True,Hit and run,Windshield,1,True,True,False,False,False
28,45,6,336515,10627,24773,True,Theft,Side panel,3,False,True,False,True,False
37,104,8,1184092,770710,777184,True,Rear-end collision,Total loss,0,True,False,False,False,False
67,110,8,674143,459001,466915,True,Side collision,Front bumper,6,False,False,False,False,False
68,73,4,982208,635817,653520,False,Fire,Engine,3,True,True,True,False,False
38,105,7,417094,305738,315581,True,Hit and run,Total loss,5,True,True,False,False,False
37,18,10,380402,183430,206365,True,Hit and run,Total loss,2,True,False,False,False,False
49,25,1,1001623,426390,440629,True,Rollover,Windshield,2,False,False,False,False,False
39,75,10,590444,52525,79351,True,Fire,Front bumper,3,True,False,True,False,False
49,38,6,491025,228004,248255,True,Theft,Front bumper,4,False,True,False,True,False
45,57,11,934287,293106,305458,True,Side collision,Total loss,6,False,False,False,False,False
31,88,0,871123,138655,149282,True,Hit and run,Rear bumper,6,True,False,False,False,False
31,17,12,585522,139471,160193,True,Hit and run,Windshield,6,False,True,False,False,False
44,100,10,797601,540594,568461,True,Rollover,Engine,1,True,False,False,False,False
62,53,1,371250,88752,106409,True,Rollover,Side panel,6,False,False,False,False,False
58,102,5,389292,101674,106464,True,Theft,Side panel,2,False,True,False,True,False
59,101,8,779119,234494,243279,True,Hit and run,Front bumper,2,True,True,False,False,False
26,113,0,767120,606741,610485,True,Hit and run,Front bumper,2,False,False,False,False,False
34,118,5,886284,191479,193723,False,Side collision,Rear bumper,5,False,False,False,False,False
31,51,3,785168,31766,51539,True,Rear-end collision,Side panel,2,True,False,False,False,False
31,82,0,555287,183596,189189,True,Side collision,Rear bumper,4,False,False,False,False,False
70,47,7,1103993,163855,186768,True,Theft,Total loss,1,False,True,False,True,False
40,40,3,348956,168786,193631,True,Rear-end collision,Windshield,3,False,True,False,False,False
66,119,8,797535,372975,401157,True,Hit and run,Engine,4,True,False,False,False,False
45,96,7,996494,496225,516096,False,Rear-end collision,Side panel,2,False,True,False,False,False
59,2,0,1114491,476978,499938,True,Side collision,Engine,3,True,False,False,False,False
66,57,2,987587,46761,61422,True,Fire,Engine,1,True,False,True,False,False
29,100,0,996714,349139,361397,True,Fire,Rear bumper,6,True,True,True,False,False
51,78,3,683580,467739,487997,True,Theft,Front bumper,2,True,False,False,True,False
68,10,9,655323,381950,386358,True,Hit and run,Total loss,2,True,False,False,False,False
35,54,12,725577,222920,234128,True,Rear-end collision,Windshield,3,True,True,False,False,False
55,61,10,658241,12619,40310,False,Theft,Rear bumper,4,False,True,False,True,True
51,15,10,315239,155671,162191,True,Rear-end collision,Rear bumper,5,True,False,False,False,False
64,109,5,765142,300057,306084,False,Rollover,Windshield,1,True,True,False,False,False
60,1,12,504906,40652,63870,False,Side collision,Front bumper,3,False,False,False,False,False
37,56,12,1039744,336040,345919,True,Rear-end collision,Total loss,5,False,False,False,False,False
53,24,2,762282,125498,134386,True,Rear-end collision,Front bumper,2,False,False,False,False,True
64,100,12,887600,178711,197862,True,Hit and run,Rear bumper,3,False,True,False,False,False
24,118,7,834664,91694,103179,True,Theft,Front bumper,3,False,True,False,True,False
32,100,0,817279,14060,31053,True,Side collision,Rear bumper,4,False,True,False,False,False
31,16,9,798482,84870,86908,True,Fire,Total loss,6,True,True,True,False,False
64,87,2,1061386,701984,704632,False,Side collision,Rear bumper,5,False,True,False,False,True
37,92,7,484300,329603,351080,True,Rollover,Front bumper,2,False,False,False,False,False
41,113,9,603055,477923,494621,True,Hit and run,Front bumper,2,True,True,False,False,False
38,75,12,381685,280330,305429,True,Rollover,Windshield,2,False,True,False,False,True
59,112,0,846988,91190,94398,True,Hit and run,Engine,3,False,False,False,False,False
51,90,5,911110,327787,336384,True,Side collision,Windshield,3,False,False,False,False,False
70,102,9,701786,188408,211838,True,Rear-end collision,Engine,3,False,True,False,False,False
70,93,5,646640,166025,183943,True,Theft,Front bumper,3,False,True,False,True,False
40,64,11,819745,551288,579386,True,Theft,Windshield,5,False,False,False,True,False
60,23,2,721299,292724,310214,True,Fire,Engine,3,False,False,True,False,False
62,28,1,818014,136094,145736,True,Hit and run,Rear bumper,1,True,False,False,False,False
47,35,9,649620,345185,352816,True,Theft,Side panel,3,True,True,False,True,False
60,97,7,854069,282432,304592,True,Hit and run,Windshield,3,False,True,False,False,False
23,101,3,858534,407426,421541,False,Fire,Front bumper,1,True,True,True,False,False
25,87,1,685704,262701,291232,True,Rear-end collision,Side panel,4,True,False,False,False,False
53,79,12,728773,222005,231504,False,Rear-end collision,Side panel,0,False,False,False,False,False
67,16,4,912269,484982,503580,True,Rollover,Total loss,4,True,False,False,False,False
63,117,4,932542,71726,77950,False,Theft,Engine,3,False,False,False,True,True
65,93,6,693320,134146,143991,True,Side collision,Side panel,3,True,False,False,False,False
51,97,5,734532,380694,404111,True,Rollover,Windshield,2,True,True,False,False,False
70,29,6,1071678,447028,465281,False,Rollover,Total loss,0,False,False,False,False,False
38,113,7,686670,177052,196373,True,Side collision,Side panel,5,False,True,False,False,False
67,49,5,1185321,92272,97863,True,Rollover,Front bumper,3,False,True,False,False,False
47,1,11,554249,96269,119648,True,Rollover,Rear bumper,1,False,False,False,False,False
69,26,12,615890,209942,217375,True,Side collision,Front bumper,5,True,True,False,False,False
63,108,6,1145531,246076,249019,True,Theft,Engine,0,False,True,False,True,False
40,39,5,968258,755769,764025,True,Theft,Engine,3,True,False,False,True,False
22,30,3,535683,142787,154346,True,Fire,Windshield,4,True,False,True,False,False
39,30,8,521210,57374,82162,False,Fire,Windshield,3,False,False,True,False,False
55,52,1,1125016,549497,557860,False,Rear-end collision,Front bumper,6,True,False,False,False,True
58,16,1,842525,36941,65170,True,Rollover,Engine,6,True,True,False,False,False
62,69,2,656479,172765,179787,True,Rear-end collision,Rear bumper,2,True,True,False,False,False
37,10,0,664357,176567,199223,False,Hit and run,Side panel,5,True,False,False,False,True
37,27,2,397415,247378,254749,True,Hit and run,Rear bumper,6,False,False,False,False,False
25,3,7,931722,318872,329699,False,Side collision,Rear bumper,0,True,True,False,False,False
27,2,5,928148,137184,156879,True,Fire,Engine,1,True,True,True,False,False
67,15,12,597877,269313,291604,True,Fire,Total loss,0,True,True,True,False,False
36,59,12,812456,149371,163226,True,Hit and run,Rear bumper,1,True,True,False,False,False
21,17,5,305220,85708,109978,True,Hit and run,Side panel,1,False,True,False,False,False
43,29,10,351585,72474,80239,True,Fire,Windshield,0,True,True,True,False,False
54,91,7,500773,180898,199515,True,Rollover,Total loss,0,True,False,False,False,False
28,69,2,480000,186862,215046,True,Rollover,Rear bumper,0,True,False,False,False,False
32,62,9,738093,538909,548798,False,Rear-end collision,Front bumper,5,True,False,False,False,True
59,74,5,1130177,838855,861073,True,Side collision,Total loss,3,False,False,False,False,False
67,14,1,1047737,399629,410833,True,Hit and run,Side panel,4,False,False,False,False,True
41,79,4,752213,95907,100789,True,Fire,Rear bumper,1,False,True,True,False,False
51,47,11,616235,41298,54804,True,Fire,Windshield,2,True,False,True,False,False
27,50,6,1032151,10789,36492,True,Rear-end collision,Total loss,4,False,True,False,False,False
25,110,7,1109603,400116,410553,True,Hit and run,Windshield,3,False,True,False,False,False
59,111,5,949950,224949,240400,True,Fire,Engine,2,True,True,True,False,False
59,18,0,1160042,903094,915893,False,Rollover,Engine,3,True,True,False,False,True
61,22,11,704911,367360,391590,True,Side collision,Side panel,0,True,True,False,False,False
68,100,5,883057,627435,631426,False,Fire,Side panel,2,False,False,True,False,True
55,10,3,782194,414889,421329,True,Hit and run,Total loss,6,True,False,False,False,False
56,80,11,746711,309500,326190,True,Theft,Side panel,0,False,False,False,True,False
26,78,2,1062240,487548,503484,True,Hit and run,Engine,1,True,True,False,False,False
58,16,10,1016060,680411,699593,False,Rear-end collision,Front bumper,3,True,True,False,False,False
69,108,7,791874,618780,623828,True,Theft,Side panel,5,True,True,False,True,False
22,11,8,478712,241844,268977,True,Rollover,Front bumper,1,True,True,False,False,False
41,77,0,603731,404928,419812,True,Rear-end collision,Side panel,2,True,False,False,False,False
23,118,0,1111838,601926,617155,True,Rollover,Total loss,4,False,True,False,False,False
54,120,9,791499,252385,264198,True,Hit and run,Total loss,6,False,False,False,False,False
50,24,8,1104944,253543,263010,True,Theft,Side panel,1,True,False,False,True,False
49,1,10,700854,278297,295443,True,Fire,Front bumper,6,True,True,True,False,False
57,88,9,454415,300889,318345,True,Theft,Rear bumper,4,True,True,False,True,False
37,4,8,759487,147049,160820,True,Rear-end collision,Windshield,1,True,False,False,False,False
33,87,3,553352,90502,103626,True,Fire,Side panel,1,False,False,True,False,False
23,1,7,794621,549660,555832,True,Rollover,Side panel,5,True,False,False,False,False
63,35,7,1066661,454118,483229,True,Side collision,Windshield,0,True,True,False,False,False
38,78,8,1016288,247896,275415,True,Side collision,Engine,1,True,False,False,False,False
56,25,5,563583,225515,237947,False,Rollover,Side panel,5,False,False,False,False,True
52,98,2,1186237,89948,110349,False,Fire,Total loss,4,True,False,True,False,False
21,15,0,468849,300928,311761,True,Rear-end collision,Windshield,3,True,True,False,False,False
25,86,0,1104556,245026,269914,True,Hit and run,Side panel,0,False,True,False,False,False
54,29,9,1198508,858131,869305,True,Side collision,Engine,6,True,True,False,False,True
45,110,1,1109000,188238,199768,True,Rollover,Total loss,2,False,True,False,False,False
46,88,2,1188780,889281,906905,True,Hit and run,Front bumper,1,False,False,False,False,False
34,11,8,492040,341108,368601,True,Theft,Side panel,5,False,True,False,True,False
44,68,12,877031,349461,375252,True,Hit and run,Front bumper,5,True,True,False,False,False
64,57,10,331501,214574,220876,False,Hit and run,Windshield,5,False,False,False,False,True
39,74,0,474540,109374,135083,True,Rear-end collision,Engine,0,False,False,False,False,False
47,102,2,458506,317760,340582,True,Hit and run,Windshield,3,False,True,False,False,False
49,54,12,501798,296520,309349,True,Rollover,Rear bumper,6,False,True,False,False,True
57,41,11,1122491,132371,143902,True,Theft,Side panel,0,False,False,False,True,False
47,99,0,657205,482629,493154,True,Rollover,Rear bumper,1,True,True,False,False,False
36,93,1,384161,181301,207570,True,Rollover,Windshield,1,False,True,False,False,False
43,114,12,598708,129685,154114,True,Side collision,Total loss,0,True,True,False,False,False
47,100,11,868950,457130,462340,True,Fire,Total loss,1,True,False,True,False,False
67,66,5,785626,404706,430046,False,Side collision,Rear bumper,0,True,False,False,False,False
55,10,2,354996,25847,44488,True,Rollover,Rear bumper,6,True,False,False,False,False
48,28,3,471026,301799,318581,True,Rear-end collision,Total loss,1,True,False,False,False,False
49,98,1,1071465,578558,597155,True,Rear-end collision,Rear bumper,0,True,True,False,False,False
47,39,8,810593,385309,411646,True,Side collision,Engine,0,True,True,False,False,False
46,82,12,697779,548310,571238,True,Side collision,Engine,6,True,False,False,False,True
22,97,6,756830,568791,589288,False,Rollover,Engine,5,True,False,False,False,True
59,111,2,1143863,906904,924816,True,Rear-end collision,Total loss,0,False,False,False,False,False
60,8,1,970891,442699,446886,True,Fire,Windshield,6,False,True,True,False,False
39,24,6,598797,383310,395145,True,Side collision,Total loss,0,True,True,False,False,False
47,117,7,338540,175644,200263,False,Rollover,Front bumper,2,True,False,False,False,False
59,45,4,866422,371705,383506,True,Theft,Windshield,1,True,False,False,True,False
50,24,0,709278,45525,65183,True,Side collision,Side panel,0,True,True,False,False,False
29,8,12,836751,25108,41636,True,Theft,Windshield,5,True,True,False,True,False
69,101,7,366533,262170,272621,True,Rollover,Front bumper,0,False,False,False,False,True
61,91,6,913055,601734,628815,True,Rollover,Rear bumper,1,True,False,False,False,False
49,53,12,1199073,501341,507534,True,Side collision,Front bumper,3,True,True,False,False,False
23,15,7,1030604,438120,465337,True,Rear-end collision,Rear bumper,1,True,True,False,False,False
40,66,3,633505,264248,283337,True,Hit and run,Rear bumper,5,False,True,False,False,False
58,39,9,330532,140145,148116,True,Theft,Total loss,5,False,True,False,True,False
26,118,11,471477,248612,257754,True,Side collision,Side panel,5,True,False,False,False,False
52,29,11,927602,360843,383802,True,Side collision,Windshield,1,False,True,False,False,False
34,91,8,303455,130964,150226,True,Rollover,Windshield,6,True,False,False,False,False
56,66,8,448841,75487,102794,True,Theft,Rear bumper,4,True,False,False,True,False
26,104,8,915276,287602,308027,True,Theft,Windshield,5,True,True,False,True,False
51,38,12,563634,430223,435184,False,Side collision,Rear bumper,1,True,False,False,False,True
56,107,7,330888,188869,207273,True,Side collision,Total loss,0,True,False,False,False,False
31,99,1,524891,309720,326607,True,Hit and run,Side panel,5,False,True,False,False,False
25,115,2,866366,150435,153346,False,Side collision,Side panel,1,False,False,False,False,False
36,69,5,720489,308700,312608,True,Fire,Front bumper,5,True,True,True,False,False
47,32,4,1104917,863529,893300,True,Rear-end collision,Side panel,6,True,False,False,False,False
35,118,7,789429,462515,487874,True,Rear-end collision,Front bumper,1,False,False,False,False,False
67,32,9,1025259,82479,102315,True,Hit and run,Front bumper,4,False,True,False,False,False
58,113,8,585536,452610,460753,True,Theft,Front bumper,3,False,True,False,True,False
